"";"X";"Focal";"Date";"Age.new";"Age.scale";"contact.one.meter";"mean.party.size.scale";"Age.mother.round.scale";"rank.scale";"months.pregnant.scale";"total.scans";"Group";"Sex";"family.member";"Group.centered";"Sex.centered";"family.member.centered"
"1";1;"SM1";"2022-02-09";16;-1,44519387739926;22;-0,435392290592464;-0,422048889958618;-0,673211492109762;-0,296468713980032;54;"SUD";"M";"Yes";0,561818181818182;0,383636363636364;0,603636363636364
"2";2;"SM1";"2022-03-28";17;-1,40995149766309;16;-0,435392290592464;-0,422048889958618;-0,673211492109762;-0,296468713980032;19;"SUD";"M";"Yes";0,561818181818182;0,383636363636364;0,603636363636364
"3";3;"SM1";"2022-04-21";18;-1,37470911792692;34;0,774030738831047;-0,422048889958618;-0,673211492109762;-0,296468713980032;81;"SUD";"M";"Yes";0,561818181818182;0,383636363636364;0,603636363636364
"4";4;"SM1";"2022-04-22";18;-1,37470911792692;16;1,29235489429827;-0,422048889958618;-0,673211492109762;-0,296468713980032;33;"SUD";"M";"Yes";0,561818181818182;0,383636363636364;0,603636363636364
"5";5;"SM1";"2022-05-08";19;-1,33946673819075;5;2,50177792372178;-0,422048889958618;-0,673211492109762;-0,296468713980032;8;"SUD";"M";"Yes";0,561818181818182;0,383636363636364;0,603636363636364
"6";6;"SM1";"2022-05-31";19;-1,33946673819075;1;-0,78094172757061;-0,422048889958618;-0,673211492109762;-0,296468713980032;3;"SUD";"M";"Yes";0,561818181818182;0,383636363636364;0,603636363636364
"7";7;"SM1";"2022-06-06";20;-1,30422435845458;39;-0,608167009081537;-0,422048889958618;-0,673211492109762;-0,296468713980032;76;"SUD";"M";"Yes";0,561818181818182;0,383636363636364;0,603636363636364
"8";8;"SM1";"2022-07-02";21;-1,26898197871841;54;-0,262617572103391;-0,422048889958618;-0,673211492109762;-0,296468713980032;70;"SUD";"M";"Yes";0,561818181818182;0,383636363636364;0,603636363636364
"9";9;"SM1";"2022-09-16";23;-1,19849721924607;9;2,50177792372178;-0,287248141133275;-0,551971020902019;-0,296468713980032;17;"SUD";"M";"Yes";0,561818181818182;0,383636363636364;0,603636363636364
"10";10;"SM1";"2022-09-17";23;-1,19849721924607;27;0,255706583363828;-0,287248141133275;-1,49764669632242;-0,296468713980032;40;"SUD";"M";"Yes";0,561818181818182;0,383636363636364;0,603636363636364
"11";11;"SM1";"2022-09-19";23;-1,19849721924607;51;0,255706583363828;-0,287248141133275;-0,551971020902019;-0,296468713980032;96;"SUD";"M";"Yes";0,561818181818182;0,383636363636364;0,603636363636364
"12";12;"SM1";"2022-09-20";23;-1,19849721924607;13;-0,435392290592464;-0,287248141133275;-0,551971020902019;-0,296468713980032;39;"SUD";"M";"Yes";0,561818181818182;0,383636363636364;0,603636363636364
"13";13;"SM1";"2022-09-21";23;-1,19849721924607;8;-0,0898428536143179;-0,287248141133275;-0,551971020902019;-0,296468713980032;12;"SUD";"M";"Yes";0,561818181818182;0,383636363636364;0,603636363636364
"14";14;"SM1";"2022-11-17";25;-1,12801245977372;20;-0,262617572103391;-0,287248141133275;-0,551971020902019;-0,296468713980032;39;"SUD";"M";"Yes";0,561818181818182;0,383636363636364;0,603636363636364
"15";15;"SM1";"2022-11-20";25;-1,12801245977372;12;2,3290032052327;-0,287248141133275;-0,551971020902019;-0,296468713980032;15;"SUD";"M";"Yes";0,561818181818182;0,383636363636364;0,603636363636364
"16";16;"SM1";"2022-11-21";25;-1,12801245977372;10;-0,78094172757061;-0,287248141133275;-0,551971020902019;-0,296468713980032;31;"SUD";"M";"Yes";0,561818181818182;0,383636363636364;0,603636363636364
"17";17;"SM1";"2023-01-08";27;-1,05752770030138;9;1,46512961278734;-0,287248141133275;-0,551971020902019;-0,296468713980032;38;"SUD";"M";"Yes";0,561818181818182;0,383636363636364;0,603636363636364
"18";18;"SM1";"2023-01-12";27;-1,05752770030138;14;-0,435392290592464;-0,287248141133275;-0,867196246042154;-0,296468713980032;17;"SUD";"M";"Yes";0,561818181818182;0,383636363636364;0,603636363636364
